2024-01-04 21:39:51,870 INFO     Initiating data ingestion
2024-01-04 21:39:51,879 INFO     Read the data from the raw.csv file
2024-01-04 21:39:51,920 INFO     Saved the data to the raw.csv file
2024-01-04 21:39:51,920 INFO     Train-test split initiated
2024-01-04 21:39:51,962 INFO     Train-test split completed
2024-01-04 21:39:51,962 INFO     Data ingestion completed
2024-01-04 21:39:52,012 INFO     Read the data from the train.csv and test.csv file
2024-01-04 21:39:52,012 INFO     Initiating data transformation
2024-01-04 21:39:52,012 INFO     Data transformation initiated
2024-01-04 21:39:52,012 INFO     numerical_columns: ['Year', 'Kilometers_Driven', 'Mileage(kmpl)', 'Engine(cc)', 'Power(bhp)', 'Seats']
2024-01-04 21:39:52,012 INFO     categorical_columns: ['Fuel_Type', 'Transmission', 'Owner_Type', 'Brand', 'Model', 'Region']
2024-01-04 21:39:52,012 INFO     Data transformation completed
2024-01-04 21:39:52,012 INFO     fit the preprocessor object on the train data
2024-01-04 21:39:52,035 INFO     transform test data
